"data_pars","basic_pars","model_type","rsq","rsq_sd","age","k0","B0_exp","B0","theta","nitro","mature_biomass","sur_cover","lulc_sum_15","num_fires_before_regrowth","distance","fallow","protec","indig","sand","phh2o","mean_pr","mean_srad","mean_temp","mean_vpd","mean_soil","mean_si","lulc_sum_39","lulc_sum_41","lulc_sum_46","lulc_sum_9","lulc_sum_21","ecoreg_439","ecoreg_440","ecoreg_441","ecoreg_442","ecoreg_443","ecoreg_491","ecoreg_492","ecoreg_500","ecoreg_525","ecoreg_566","ecoreg_567","ecoreg_616","topography_11","topography_12","topography_21","topography_22","topography_24","topography_31","topography_32","topography_34","topography_41","topography_42"
"nitro","age_B0","optim",0.0803459934674118,0.00907769118885234,0.808242416888311,NA,NA,99.701219929593,1.47611915826796,0.338666685958704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrosur","age_B0","optim",0.111271749414737,0.0122082646460973,0.807473885365697,NA,NA,99.3546977673887,2.39810827202051,0.261948489208815,NA,1.24297014986674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"most","age_B0","optim",NA,NA,0.851692534317576,NA,NA,99.1047657005931,2.32973825169946,0.274204096281197,NA,1.17002770713276,-0.135740619636011,-0.184227728595661,0.0343186089701799,-0.0035913064094145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","age_B0","optim",0.151091918760423,0.0153192605004383,1.34276406977535,NA,NA,96.5944878114283,7.89886857341701,NA,NA,1.31821574596516,NA,NA,0.205973651098214,NA,0.0698475725281203,0.440798130974753,NA,NA,1.12579312334926,NA,NA,0.0428313829213177,4.25083391325506e-06,-0.023455431526023,-0.192842379281647,NA,NA,1.64038596391992,0.558956208515357,0.290630110326114,-0.00957037013120907,0.0372316259420106,0.318170496240307,-0.114755282547945,0.262074285378243,-0.367403599678873,0.22110778386741,-0.756693252360549,-0.0312146573607945,-0.141093307408702,-0.265387478120622,0.333668331777111,12.8152684428845,0.00343567062108425,0.0556751742194257,0.0114786924034044,0.00702024980198344,0.228849157512936,0.33649949369175,-0.0380467174501928,0.0746417920201623
"nitro","age_k0_B0","optim",0.0801569532183275,0.00346235854119813,0.882145750506071,-0.00621242824436834,NA,98.6564715043896,1.61808966126409,0.412214896427827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrosur","age_k0_B0","optim",NA,NA,0.878192958769026,-0.0274587268683804,NA,99.5111823925719,2.58624536724263,0.318491970126067,NA,1.2677727810026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"most","age_k0_B0","optim",0.119923044134197,0.00710500373730146,0.84011184015045,0.79593223489572,NA,98.993584872421,5.08464356669015,0.0192552053391717,NA,1.43027201075438,-0.76981278044374,-0.580247733001693,-0.0603726868979905,-0.0167268660166351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","age_k0_B0","optim",0.148138131653251,0.0120060327046414,1.21177692826944,0.0369946449942105,NA,98.8929213512842,6.68759621145451,NA,NA,1.45601662998071,NA,NA,NA,-0.00467011211829085,0.0738947115340119,0.558450180515566,NA,NA,NA,NA,NA,0.168936550703482,6.939251769021e-05,NA,NA,-0.145604228368531,NA,1.65031520259103,0.455518775726828,0.459087046076803,0.178069235954772,0.389886241404936,0.282094393923613,-0.129451819770996,0.579743239202579,0.110941305004408,0.373939742622469,0.0824976147965446,0.170014940961816,-0.0369442699587167,-0.52146138876414,0.465174056706295,2.23907516507955,0.120876360151785,0.217910852009514,0.25930947128989,0.126665944439789,0.375924051212334,0.492904714689317,0.111503987517753,0.247170475112923
"nitro","k0_B0","optim",0.0796286139330923,0.00686258213005846,NA,0.14822161099831,NA,99.2680016866146,0.60380437329162,0.332575474079411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrosur","k0_B0","optim",0.103163899893009,0.00673503877756247,NA,0.013426363241014,NA,100.882247268914,0.502016623765376,-0.0037411865662442,NA,0.760747124315504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"most","k0_B0","optim",NA,NA,NA,0.0611135676187159,NA,100.021009839441,0.556252232781172,-0.000794853769187053,NA,0.818929933322487,-0.065541576296496,-0.0480024572776595,NA,-0.00281006932753069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","k0_B0","optim",0.130122848477969,0.0144928561526273,NA,-0.0142020098582952,NA,99.6763976649562,0.932122347826466,NA,NA,1.22330825821669,NA,NA,NA,NA,0.0303451771211501,0.669549699505837,NA,NA,NA,0.00150034249821127,NA,0.181466816958484,NA,NA,NA,0.0492119539330156,NA,2.99734189521356,0.604573782024147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18628782752525,1.03470186882882,0.00690409502241278,0.0384280860944512,0.165789148417027,0.0109901651035328,0.238777962705895,0.342903570807432,-0.0169667489560611,0.151906445898379
"nitro","k0_B0_exp","optim",0.0714175913468631,0.00605002571020499,NA,0.25806586610926,0.0326082422517408,NA,0.220526819524121,-0.0121481702734548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrosur","k0_B0_exp","optim",0.0905101450964106,0.010410183312116,NA,0.0729954547281362,0.00447203972530428,NA,0.151058488039481,-0.0725892271975589,NA,0.342629078465314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"most","k0_B0_exp","optim",NA,NA,NA,0.0938859765959549,0.00731817464072244,NA,0.165434670549059,-0.0823025455818296,NA,0.3796994398241,-0.09778690188163,-0.0225776479099857,0.10596453335166,-0.00321357058446385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","k0_B0_exp","optim",NA,NA,NA,-0.224903960906574,0.0645277609560535,NA,0.299261593705522,0.00215094759911098,NA,0.862857071740812,-0.0688685680212717,-0.0955252390699672,-0.00154775497347412,NA,0.135669964122286,0.504618095618966,NA,NA,-0.000316777962680723,NA,NA,0.786042650988031,NA,NA,-0.135069663680563,NA,NA,1.79729982376125,0.350676939006901,0.0624947023284047,-0.04236185618349,-0.201192716441403,-0.0396563838252606,-0.105824798082161,1.01888526041937,0.125096810052827,-0.027314489992185,-0.083527455638267,-0.128616995528024,-0.219664988862363,-0.0200956760845241,0.199432730597337,1.09058454628659,-0.0173903387386846,-0.0280155790385106,0.0393306016471058,0.00645284351430166,0.127793027678303,0.439285193599785,0.00108605138405327,0.0784590012225365
